Motif	Factor	Evidence	Curated
GM.5.0.Nuclear_receptor.0004	nr2c1	Orthologs	N
GM.5.0.Nuclear_receptor.0004	hnf4a	Orthologs	N
GM.5.0.Nuclear_receptor.0004	hnf4a	Orthologs	N
GM.5.0.Sox.0002	sox10	Orthologs	N
GM.5.0.Sox.0002	sox9a	Orthologs	N
GM.5.0.Sox.0002	sox10	Orthologs	N
GM.5.0.Sox.0002	sox9a	Orthologs	N
GM.5.0.DM.0001	dmrt1	Orthologs	N
GM.5.0.DM.0001	dmrt1	Orthologs	N
GM.5.0.bHLH.0004	srebf1	Orthologs	N
GM.5.0.bHLH.0004	srebf2	Orthologs	N
GM.5.0.bHLH.0004	srebf1	Orthologs	N
GM.5.0.bHLH.0004	srebf2	Orthologs	N
GM.5.0.bHLH.0004	tfe3a	Orthologs	N
GM.5.0.bHLH.0004	tfe3b	Orthologs	N
GM.5.0.bHLH.0004	mitfb	Orthologs	N
GM.5.0.bHLH.0004	mitfa	Orthologs	N
GM.5.0.bHLH.0004	tfe3a	Orthologs	N
GM.5.0.bHLH.0004	tfe3b	Orthologs	N
GM.5.0.bHLH.0004	mitfb	Orthologs	N
GM.5.0.bHLH.0004	mitfa	Orthologs	N
GM.5.0.bHLH.0004	usf1l	Orthologs	N
GM.5.0.bHLH.0004	usf1	Orthologs	N
GM.5.0.bHLH.0004	usf1l	Orthologs	N
GM.5.0.bHLH.0004	usf1	Orthologs	N
GM.5.0.bHLH.0004	LOC101883970	Orthologs	N
GM.5.0.bHLH.0004	tcf3b	Orthologs	N
GM.5.0.bHLH.0004	tcf4	Orthologs	N
GM.5.0.bHLH.0004	tcf12	Orthologs	N
GM.5.0.bHLH.0004	LOC101883970	Orthologs	N
GM.5.0.bHLH.0004	tcf3b	Orthologs	N
GM.5.0.bHLH.0004	tcf4	Orthologs	N
GM.5.0.bHLH.0004	tcf12	Orthologs	N
GM.5.0.bHLH.0004	tfec	Orthologs	N
GM.5.0.bHLH.0004	tfec	Orthologs	N
GM.5.0.bHLH.0004	usf2	Orthologs	N
GM.5.0.bHLH.0004	usf2	Orthologs	N
GM.5.0.bZIP.0004	atf5a	Orthologs	N
GM.5.0.bZIP.0004	atf5b	Orthologs	N
GM.5.0.bZIP.0004	atf5a	Orthologs	N
GM.5.0.bZIP.0004	atf5b	Orthologs	N
GM.5.0.bZIP.0004	cebpg	Orthologs	N
GM.5.0.bZIP.0004	cebpg	Orthologs	N
GM.5.0.bZIP.0004	atf3	Orthologs	N
GM.5.0.bZIP.0004	jdp2b	Orthologs	N
GM.5.0.bZIP.0004	atf3	Orthologs	N
GM.5.0.bZIP.0004	jdp2b	Orthologs	N
GM.5.0.bZIP.0004	myca	Orthologs	N
GM.5.0.bZIP.0004	mycb	Orthologs	N
GM.5.0.bZIP.0004	myca	Orthologs	N
GM.5.0.bZIP.0004	mycb	Orthologs	N
GM.5.0.bZIP.0004	atf4b	Orthologs	N
GM.5.0.bZIP.0004	atf4a	Orthologs	N
GM.5.0.bZIP.0004	atf4b	Orthologs	N
GM.5.0.bZIP.0004	atf4a	Orthologs	N
GM.5.0.bZIP.0004	tenm3	Orthologs	N
GM.5.0.bZIP.0004	si_dkey-237h12.3	Orthologs	N
GM.5.0.bZIP.0004	tenm4	Orthologs	N
GM.5.0.bZIP.0004	tenm1	Orthologs	N
GM.5.0.bZIP.0004	si_ch211-12m10.1	Orthologs	N
GM.5.0.bZIP.0004	si_dkey-34l15.2	Orthologs	N
GM.5.0.bZIP.0004	tenm3	Orthologs	N
GM.5.0.bZIP.0004	si_dkey-237h12.3	Orthologs	N
GM.5.0.bZIP.0004	tenm4	Orthologs	N
GM.5.0.bZIP.0004	tenm1	Orthologs	N
GM.5.0.bZIP.0004	si_ch211-12m10.1	Orthologs	N
GM.5.0.bZIP.0004	si_dkey-34l15.2	Orthologs	N
GM.5.0.bZIP.0004	ddit3	Orthologs	N
GM.5.0.bZIP.0004	ddit3	Orthologs	N
GM.5.0.T-box.0001	tbx20	Orthologs	N
GM.5.0.T-box.0001	tbx20	Orthologs	N
GM.5.0.T-box.0001	tbx1	Orthologs	N
GM.5.0.T-box.0001	tbx1	Orthologs	N
GM.5.0.T-box.0001	LOC100330653	Orthologs	N
GM.5.0.T-box.0001	LOC100330653	Orthologs	N
GM.5.0.T-box.0001	tbr1a	Orthologs	N
GM.5.0.T-box.0001	tbr1b	Orthologs	N
GM.5.0.T-box.0001	tbx21	Orthologs	N
GM.5.0.T-box.0001	eomesb	Orthologs	N
GM.5.0.T-box.0001	eomesa	Orthologs	N
GM.5.0.T-box.0001	tbr1a	Orthologs	N
GM.5.0.T-box.0001	tbr1b	Orthologs	N
GM.5.0.T-box.0001	tbx21	Orthologs	N
GM.5.0.T-box.0001	eomesb	Orthologs	N
GM.5.0.T-box.0001	eomesa	Orthologs	N
GM.5.0.bHLH.0005	myf6	Orthologs	N
GM.5.0.bHLH.0005	myf6	Orthologs	N
